slug,name,region,district,category,gender
abeadze-state-college,Abeadze State College,Central,Mfantseman Municipal,C,Mixed
abetifi-tech-inst,Abetifi Tech. Inst.,Eastern,Kwahu East,B,Mixed
abosamso-technical-institute,Abosamso Technical Institute,Ashanti,Bosome Freho,C,Mixed
abutia-senior-high-tchnical,Abutia Senior High/Tchnical,Volta,Ho West,B,Mixed
adankwaman-senior-high,Adankwaman Senior High,Central,Assin South,B,Mixed
adanwomase-senior-high,Adanwomase Senior High,Ashanti,Kwabre East,C,Mixed
adiembra-senior-high,Adiembra Senior High,Western,Sekondi Takoradi,B,Mixed
adjena-senior-high-tech,Adjena Senior High/Tech.,Eastern,Asuogyaman,C,Mixed
adjoafua-comm-senior-high,Adjoafua Comm. Senior High,Western North,Bia West,C,Mixed
adobewora-comm-senior-high,Adobewora Comm. Senior High,Ashanti,Atwima Mponua,C,Mixed
adrobaa-technical-institute,Adrobaa Technical Institute,Ahafo,Tano North,C,Mixed
adugyama-comm-senior-high,Adugyama Comm. Senior High,Ashanti,Ahafo Ano South,C,Mixed
aduman-senior-high,Aduman Senior High,Ashanti,Afigya-Kwabre,B,Mixed
adventist-senior-high-kumasi,"Adventist Senior High, Kumasi",Ashanti,Kumasi Metro,B,Mixed
afadjato-senior-high-tech,Afadjato Senior High/Tech.,Volta,Hohoe Municipal,C,Mixed
afienya-technical-institute,Afienya Technical Institute,Greater Accra,Ningo Prampram,B,Mixed
afife-senior-high-tech,Afife Senior High Tech.,Volta,Ketu North,C,Mixed
afigya-senior-high-tech,Afigya Senior High/Tech,Ashanti,Afigya-Kwabre North,C,Mixed
afigyaman-senior-high-school,Afigyaman Senior High School,Ashanti,Afigya-Kwabre,C,Mixed
aflao-community-shts,Aflao Community SHTS,Volta,Ketu South,C,Mixed
agate-comm-senior-high,Agate Comm. Senior High,Volta,Afadzto South,B,Mixed
agomeda-technical-institute,Agomeda Technical Institute,Greater Accra,Shai-Osudoku,C,Mixed
agotime-senior-high,Agotime Senior High,Volta,Agortime Ziope,C,Mixed
ahamansu-islamic-senior-high-school,Ahamansu Islamic Senior High School,Oti,Kadjebi,C,Mixed
ajumako-afranse-technical-institute,Ajumako-Afranse Technical Institute,Central,Ajumako/Enyan/Esiam,C,Mixed
akatsi-senior-high-tech,Akatsi Senior High/Tech,Volta,Akatsi South Municipal,C,Mixed
akim-asafo-senior-high,Akim Asafo Senior High,Eastern,Abuakwa South Municipal,C,Mixed
akim-swedru-senior-high,Akim Swedru Senior High,Eastern,Birim South,B,Mixed
akome-senior-high-tech,Akome Senior High/Tech.,Volta,Ho West,C,Mixed
akontombra-senior-high,Akontombra Senior High,Western North,Sefwi Akontombra,B,Mixed
akpafu-senior-high-tech-fa8ae9a1-2622-4cd9-938b-21fa233b43c1,Akpafu Senior High/Tech.,Oti,Guan,C,Mixed
akramaman-senior-high,Akramaman Senior High,Greater Accra,Ga West,C,Mixed
akro-senior-high-tech,Akro Senior High/Tech,Eastern,Lower Manya Krobo,C,Mixed
akrodie-technical-institute,Akrodie Technical Institute,Ahafo,Asunafo North,C,Mixed
akrofuom-senior-high-tech,Akrofuom Senior High/Tech,Ashanti,Akrofuom,B,Mixed
akroso-senior-high-tech,Akroso Senior High/Tech,Eastern,Asene/Manso/Akroso,C,Mixed
akumadan-applied-technology-institute,Akumadan Applied Technology Institute,Ashanti,Offinso North,C,Mixed
akumadan-senior-high,Akumadan Senior High,Ashanti,Offinso North,C,Mixed
ameyaw-akumfi-senior-high-tech,Akumfi Ameyaw Senior High/Tech.,Bono East,Techiman North,B,Mixed
akwamuman-senior-high,Akwamuman Senior High,Eastern,Asuogyaman,B,Mixed
akwesi-awobaa-senior-high,Akwesi Awobaa Senior High/Tech,Ashanti,Ejura Sekyedumase,C,Mixed
al-azariya-islamic-snr-high-kumasi,"Al-Azariya Islamic Snr. High, Kumasi",Ashanti,Kumasi Metro,B,Mixed
alavanyo-senior-high-tech,Alavanyo Senior High/Tech.,Volta,Hohoe Municipal,C,Mixed
amankwakrom-fisheries-agric-tech-inst,Amankwakrom Fisheries Agric. Tech. Inst.,Eastern,Kwahu Afram Plains North,B,Mixed
amanten-senior-high,Amanten Senior High,Bono East,Atebubu-Amantin,B,Mixed
amedzofe-technical-institute,Amedzofe Technical Institute,Volta,Ho West,C,Mixed
amenfiman-senior-high,Amenfiman Senior High,Western,Wassa Amenfi East,B,Mixed
amoafo-technical-institute,Amoafo Technical Institute,Ashanti,Bekwai,C,Mixed
amoana-praso-senior-high,Amuana Praso Senior High,Eastern,Birim North,C,Mixed
anbariya-senior-high-sch,Anbariya Senior High Sch.,Northern,Tamale Metro,C,Mixed
anfoeta-technical-institute,Anfoeta Technical Institute,Volta,Ho West,C,Mixed
anlo-afiadenyigba-senior-high,Anlo Afiadenyigba Senior High,Volta,Keta Municipal,C,Mixed
anlo-awomefia-senior-high,Anlo Awomefia Senior High,Volta,Anlo Keta,C,Mixed
anlo-senior-high,Anlo Senior High,Volta,Keta Municipal,B,Mixed
annor-adjaye-senior-high,Annor Adjaye Senior High,Western,Jomoro,C,Mixed
antoa-senior-high,Antoa Senior High,Ashanti,Kwabre East,C,Mixed
anum-asamoah-senior-high-tech,Anum Asamoah Senior High/Tech,Ashanti,Atwima Kwanwoma,C,Mixed
apagya-senior-high,Apagya Senior High,Ashanti,Adansi South,C,Mixed
apedwa-presby-senior-high,Apedwa Presby Senior High,Eastern,Fanteakwa South Municipal,C,Mixed
apeguso-senior-high,Apeguso Senior High,Eastern,Asuogyaman,C,Mixed
aperade-senior-high-tech,Aperade Senior High/Tech.,Eastern,Achiase,C,Mixed
apesua-comm-senior-high,Apesua Comm. Senior High,Eastern,Yilo Krobo,C,Mixed
asafora-technical-institute,Asafora Technical Institute,Central,Mfantseman Municipal,C,Mixed
asakraka-technical-institute,Asakraka Technical Institute,Eastern,Kwahu South,C,Mixed
asamankese-senior-high,Asamankese Senior High,Eastern,West Akim,B,Mixed
asankare-technical-institute,Asankare Technical Institute,Ashanti,Asante Akim South,B,Mixed
asankrangwa-senior-high,Asankrangwa Senior High,Western,Wassa Amenfi West,C,Mixed
asankrangwa-senior-high-tech,Asankrangwa Senior High/Tech,Western,Wassa Amenfi West,C,Mixed
asare-bediako-senior-high,Asare Bediako Senior High .,Ashanti,Adansi North,B,Mixed
asasetre-technical-institute,Asasetre Technical Institute,Western,Ellembele,C,Mixed
asawinso-senior-high,Asawinso Senior High,Western North,Sefwi Wiawso,B,Mixed
asesewa-senior-high-school,Asesewa Senior High/Tech,Eastern,Upper Manya Krobo,C,Mixed
assin-jakai-applied-technology-institute,Assin Jakai Applied Technology Institute,Central,Assin South,C,Mixed
assin-north-senior-high-tech,Assin North Senior High/Tech,Central,Assin North,C,Mixed
assin-nsuta-agric-senior-high,Assin Nsuta Senior High School,Central,Assin South,C,Mixed
asukawkaw-senior-high,Asukawkaw Senior High,Oti,Krachi East,C,Mixed
asuoso-comm-senior-high,Asuoso Comm. Senior High,Ashanti,Offinso North,C,Mixed
atebubu-senior-high,Atebubu Senior High,Bono East,Atebubu-Amantin,C,Mixed
atiavi-senior-high-tech,Atiavi Senior High/Tech,Volta,Anlo Keta,C,Mixed
atorkor-technical-institute,Atorkor Technical Institute,Volta,Keta Municipal,C,Mixed
attafuah-senior-high-tech,Attafuah Senior High/Tech,Eastern,Birim Central,B,Mixed
atweaman-senior-high,Atweaman Senior High,Eastern,Asene/Manso/Akroso,C,Mixed
avatime-senior-high,Avatime Senior High,Volta,Ho West,C,Mixed
ave-senior-high,Ave Senior High,Volta,Akatsi North,C,Mixed
ave-technical-institute,Ave Technical Institute,Volta,Akatsi North,C,Mixed
avenor-senior-high,Avenor Senior High,Volta,Akatsi South Municipal,C,Mixed
avenorpeme-technical-institute,Avenorpeme Technical Institute,Volta,Akatsi South Municipal,C,Mixed
avenui-awudome-technical-institute,Avenui-Awudome Technical Institute,Volta,Ho West,C,Mixed
aveyime-battor-senior-high-tech,Aveyime Battor Senior High/Tech.,Volta,North Tongu,C,Mixed
awe-senior-high-tech,Awe Senior High/Tech.,Upper East,Kasena-Nankani Municipal,C,Mixed
awudome-senior-high,Awudome Senior High .,Volta,Ho Municipal,B,Mixed
awutu-winton-senior-high,Awutu Winton Senior High,Central,Awutu Senya West,B,Mixed
axim-girls-senior-high,Axim Girls Senior High,Western,Nzema East,C,Girls
axim-technical-institute,Axim Technical Institute,Western,Nzema East,B,Mixed
ayirebi-senior-high,Ayirebi Senior High,Eastern,Akyemansa,C,Mixed
azeem-namoa-senior-high-tech,Azeem-Namoa Senior High/Tech,Upper East,Bongo,C,Mixed
badu-senior-high-tech,Badu Senior High/Tech.,Bono,Tain,B,Mixed
baglo-ridge-senior-high-tech,Baglo Ridge Senior High/Tech.,Oti,Jasikan,B,Mixed
bamboi-comm-senior-high,Bamboi Comm. Senior High,Savannah,Bole,C,Mixed
bandaman-senior-high,Bandaman Senior High,Bono,Banda,C,Mixed
banka-comm-senior-high,Banka Comm. Senior High,Ashanti,Asante Akim South,C,Mixed
bankoman-senior-high,Bankoman Senior High,Ashanti,Sekyere Kumawu,B,Mixed
barekese-senior-high,Barekese Senior High School,Ashanti,Atwima Nwabiagya North Municipal,C,Mixed
bassa-community-senior-high,Bassa Community Senior High,Bono East,Sene East,C,Mixed
battor-senior-high,Battor Senior High,Volta,North Tongu,C,Mixed
bawku-senior-high,Bawku Senior High,Upper East,Bawku East,B,Mixed
bawku-senior-high-tech,Bawku Senior High/Tech.,Upper East,Bawku,C,Mixed
bechem-presby-senior-high,Bechem Presby Senior High,Ahafo,Tano South,B,Mixed
bechem-technical-institute,Bechem Technical Institute,Ahafo,Tano South,B,Mixed
bedeku-technical-institute,Bedeku Technical Institute,Greater Accra,Ada East,C,Mixed
benkum-senior-high,Benkum Senior High,Eastern,Akwapim North Municipal,B,Mixed
benso-senior-high-tech,Benso Senior High/Tech,Western,Tarkwa-Nsuaem,C,Mixed
bepoase-shts,Bepoase Shts,Ashanti,Sekyere South,C,Mixed
bepong-senior-high-school,Bepong Senior High School,Eastern,Kwahu South,C,Mixed
beposo-senior-high,Beposo Senior High,Ashanti,Bosomtwe,B,Mixed
berekum-senior-high,Berekum Senior High,Bono,Berekum Municipal,B,Mixed
bia-senior-high-tech,Bia Senior High/Tech,Western North,Bia West,B,Mixed
biakoye-comm-day-school,Biakoye Comm. School,Oti,Biakoye,C,Mixed
bimbagu-senior-high-tech,Bimbagu Senior High/Tech,North East,Bunkpurugu-Nakpanduri,C,Mixed
bimbilla-senior-high,Bimbilla Senior High,Northern,Nanumba North,C,Mixed
binduri-comm-senior-high,Binduri Comm. Day Senior High,Upper East,Binduri,C,Mixed
birifo-technical-institute,Birifo Technical Institute,Upper West,Lawra,C,Mixed
birifoh-senior-high-sch,Birifoh Senior High Sch.,Upper West,Lawra,C,Mixed
bisease-senior-high-com,Bisease Senior High School,Central,Ajumako/Enyan/Esiam,C,Mixed
boa-amponsem-senior-high,Boa-Amponsem Senior High,Central,Upper Denkyira East Municipal,B,Mixed
boakye-tromo-senior-high-tech,Boakye Tromo Senior High/Tech,Ahafo,Tano North,B,Mixed
kwanwoma-senior-high-tech,Boanim Senior High/ Tech Sch,Ashanti,Sekyere South,C,Mixed
bodi-senior-high,Bodi Senior High,Western North,Bodi,B,Mixed
bodomase-senior-high-tech,Bodomase Senior High/Tech,Ashanti,Sekyere Kumawu,C,Mixed
bodwesango-senior-high,Bodwesango Senior High,Ashanti,Adansi North,C,Mixed
bole-senior-high,Bole Senior High,Savannah,Bole,C,Mixed
bole-technical-institute,Bole Technical Institute,Savannah,Bole,C,Mixed
bomaa-comm-senior-high,Bomaa Comm. Senior High,Ahafo,Tano North,B,Mixed
bongo-senior-high,Bongo Senior High,Upper East,Bongo,C,Mixed
bongo-technical-institute,Bongo Technical Institute,Upper East,Bongo,C,Mixed
bonso-nkwanta-technical-institute,Bonso Nkwanta Technical Institute,Western North,Juaboso,C,Mixed
bontrase-senior-high-tech-sch,Bontrase Senior High Tech. Sch,Central,Awutu Senya,C,Mixed
bonwire-senior-high-tech,Bonwire Senior High/Tech,Ashanti,Juaben Municipal,C,Mixed
bonzo-kaku-senior-high,Bonzo-Kaku Senior High,Western,Ellembele,C,Mixed
bortianor-senior-high-school,Bortianor Senior High School,Greater Accra,Ga South,C,Mixed
boso-senior-high-technical,Boso Senior High Technical,Eastern,Asuogyaman,C,Mixed
bosome-senior-high-tech,Bosome Senior High/Tech.,Ashanti,Bosome Freho,C,Mixed
bosomtwe-senior-high-tech,Bosomtwe Senior High/Tech,Ashanti,Bosome Freho,C,Mixed
botoku-technical-insitute,Botoku Technical Insitute,Volta,Dayi,C,Mixed
bowiri-comm-day-school,Bowiri Comm. Day Senior High/Tech.,Oti,Biakoye,C,Mixed
brakwa-senior-high-tech,Brakwa Senior High/Tech,Central,Asikuma/Odoben/Brakwa,C,Mixed
breman-asikuma-senior-high,Breman Asikuma Senior High,Central,Asikuma/Odoben/Brakwa,B,Mixed
breman-asikuma-technical-institute,Breman Asikuma Technical Institute,Central,Asikuma/Odoben/Brakwa,C,Mixed
bueman-senior-high,Bueman Senior High .,Oti,Jasikan,B,Mixed
buipe-senior-high,Buipe Senior High,Savannah,Central Gonja,C,Mixed
buipe-tech-voc-inst,Buipe Technical Institute,Savannah,Central Gonja,C,Mixed
bunkpurugu-senior-high-tech,Bunkpurugu Senior High/Tech,North East,Bunkpurugu-Nakpanduri,C,Mixed
business-secretarial-and-technical-institute,Business Secretarial and Technical Institute,Ashanti,Asokwa,C,Mixed
busunya-senior-high,Busunya Senior High,Bono East,Nkoranza North,C,Mixed
caring-sisters-technical-institute,Caring Sisters Technical Institute,Volta,Anloga,C,Mixed
charlotte-dolphyne-technical-institute,Charlotte Dolphyne Technical Institute,Western,Ellembele,B,Mixed
chereponi-senior-high-tech,Chereponi Senior High/Tech.,North East,Chereponi,C,Mixed
chiana-senior-high,Chiana Senior High,Upper East,Kasena-Nankani West,C,Mixed
chiraa-senior-high,Chiraa Senior High,Bono,Sunyani West,B,Mixed
chirano-comm-day-school,Chirano Comm. Day School,Western North,Bibiani Anhwiaso Bekwai,C,Mixed
christ-the-king-cath-obuasi,"Christ the King Cath., Obuasi",Ashanti,Obuasi,B,Mixed
church-of-christ-senior-high,Church Of Christ Senior High,Ashanti,Ejisu Municipal,C,Mixed
college-of-music-senior-mozano,College of Music Senior High,Central,Gomoa West,C,Mixed
collins-senior-high-commercial-agogo,"Collins Senior High/Commercial, Agogo",Ashanti,Asante Akim North,B,Mixed
comboni-tech-voc,Comboni Tech/Voc Inst.,Volta,South Tongu Municipal,B,Mixed
dabala-senior-high-tech,Dabala Senior High/Tech.,Volta,South Tongu Municipal,C,Mixed
daboase-senior-high-tech,Daboase Senior High/Tech,Western,Mpohor Wassa East,B,Mixed
daboya-comm-day-school,Daboya Comm. Day School,Savannah,North Gonja,C,Mixed
dadease-agric-senior-high,Dadease Agric Senior High,Ashanti,Sekyere Kumawu,C,Mixed
dadieso-senior-high,Dadieso Senior High,Western North,Suaman,B,Mixed
daffiamah-senior-high,Daffiamah Senior High,Upper West,Bussie-Issa,C,Mixed
dagbon-state-senior-high-tech,Dagbon State Senior High/Tech,Northern,Yendi,C,Mixed
dambai-technical-institute,Dambai Technical Institute,Oti,Krachi East,C,Mixed
damongo-senior-high,Damongo Senior High,Savannah,West Gonja,C,Mixed
damongo-technical-institute,Damongo Technical Institute,Savannah,West Gonja,C,Mixed
danfa-technical-institute,Danfa Technical Institute,Greater Accra,La Nkwantanang Madina,C,Mixed
danso-agyei-senior-high-technical,Danso Agyei Senior high technical,Ahafo,Asutifi South,C,Mixed
denkyembour-technical-institute,Denkyembour Technical Institute,Eastern,Denkyembour,C,Mixed
denyaseman-cath-senior-high,Denyaseman Cath.Senior High,Ashanti,Bekwai,C,Mixed
derma-comm-day-school,Derma Comm. Day School,Ahafo,Tano South,B,Mixed
diabene-senior-high-tech,Diabene Senior High/Tech,Western,Sekondi Takoradi,C,Mixed
diamono-senior-high-sch,Diamono Senior High Sch.,Bono,Jaman North,B,Mixed
diaso-senior-high,Diaso Senior High,Central,Upper Denkyira West,B,Mixed
diaspora-girls-senior-high,Diaspora Girls' Senior High,Eastern,Akwapim South,C,Girls
dodi-papase-senior-high-tech,Dodi-Papase Senior High/Tech,Oti,Kadjebi,C,Mixed
dofor-senior-high,Dofor Senior High,Volta,North Tongu,C,Mixed
dompoase-senior-high,Dompoase Senior High,Ashanti,Adansi North,B,Mixed
don-bosco-voc-tech-inst,Don Bosco Voc./Tech. Inst.,Bono,Sunyani West,B,Mixed
donkorkrom-agric-senior-high,Donkorkrom Agric Senior High,Eastern,Kwahu Afram Plains North,C,Mixed
donkro-nkwanta-senior-high-school,Donkro- Nkwanta Senior High School,Bono East,Nkoranza South,C,Mixed
dormaa-senior-high,Dormaa Senior High,Bono,Dormaa Central,B,Mixed
dr-hila-liman-senior-high-school,Dr. Hilla Limann Senior High School,Upper West,Sisala West,C,Mixed
drobo-senior-high,Drobo Senior High,Bono,Jaman South,B,Mixed
drobonso-senior-high-school,Drobonso Senior High School,Ashanti,Sekyere Afram Plains,C,Mixed
duadaso-no-1-senior-high-tech,Duadaso No. 1 Senior High/Tech.,Bono,Jaman North,C,Mixed
dunkwa-senior-high-tech,Dunkwa Senior High/Tech,Central,Upper Denkyira East Municipal,C,Mixed
dwease-praaso-technical-institute,Dwease-Praaso Technical Institute,Ashanti,Asante Akim Central Municipal,C,Mixed
dzodze-technical-institute,Dzodze Technical Institute,Volta,Ketu North,C,Mixed
dzolo-senior-high,Dzolo Senior High,Volta,Ho West,C,Mixed
e-p-agric-senior-high-tech,E. P. Agric Senior High/Tech.,Northern,Tatale Sanguli,C,Mixed
e-p-senior-high,E. P. Senior High,Volta,Hohoe Municipal,C,Mixed
e-p-tech-voc-inst,E.P. Tech/Voc Inst,Volta,Hohoe Municipal,C,Mixed
edinaman-senior-high,Edinaman Senior High,Central,Komenda/Edina/Eguafo/Abirem Municipal,B,Mixed
effutu-senior-high-tech,Effutu Senior High/Tech,Central,Cape Coast,C,Mixed
eguafo-abrem-senior-high,Eguafo-Abrem Senior High,Central,Komenda/Edina/Eguafo/Abirem Municipal,C,Mixed
ejuraman-anglican-senior-high,Ejuraman Anglican Senior High,Ashanti,Ejura Sekyedumase,C,Mixed
ekumfi-t-i-ahmadiiyya-snr-high,Ekumfi T. I. Ahmadiiyya SHTS,Central,Ekumfi,B,Mixed
enyan-denkyira-senior-high,Enyan Denkyira Senior High/Tech,Central,Ajumako/Enyan/Esiam,C,Mixed
enyan-maim-comm-day-school,Enyan Maim Comm. Day School,Central,Ajumako/Enyan/Esiam,C,Mixed
enyan-abaasa-technical-institute,Enyan-Abaasa Technical Institute,Central,Ajumako/Enyan/Esiam,B,Mixed
eremon-senior-high-tech,Eremon Senior High/Tech.,Upper West,Lawra,C,Mixed
esaase-bontefufuo-snr-high-tech,Esaase Bontefufuo Snr. High/Tech.,Ashanti,Amansie West,C,Mixed
esiama-senior-high-tech,Esiama Senior High/Tech,Western,Ellembele,B,Mixed
essipun-technical-institute,Essipun Technical Institute,Western,Sekondi Takoradi,C,Mixed
fawohoyeden-technical-institute,Fawohoyeden Technical Institute,Ahafo,Asunafo North,C,Mixed
fettehman-senior-high,Fettehman Senior High,Central,Gomoa East,C,Mixed
feyiase-senior-high-school,Feyiase Senior High School,Ashanti,Bosomtwe,C,Mixed
fodoa-comm-senior-high,Fodoa Comm. Senior High,Eastern,Kwahu West,C,Mixed
fr-dogli-memorial-voc-tech-inst,Fr. Dogli Memorial Technical Institute,Oti,Jasikan,C,Mixed
fumbisi-senior-high,Fumbisi Senior High,Upper East,Builsa South,C,Mixed
funsi-senior-high-school,Funsi Senior High School,Upper West,Wa East,C,Mixed
gratis-technical-institute-bolga,"GRATIS Technical Institute, Bolga",Upper East,Bolgatanga Municipal,C,Mixed
gratis-technical-institute-tamale,"GRATIS Technical Institute, Tamale",Northern,Tamale Metro,C,Mixed
gratis-technical-institute-wa,"GRATIS Technical Institute, Wa",Upper West,Wa Municipal,C,Mixed
gambaga-girls-senior-high,Gambaga Girls Senior High,North East,East Mamprusi,C,Girls
gambigo-comm-day-senior-high,Gambigo Comm. Day Senior High,Upper East,Bolgatanga East,C,Mixed
garu-comm-day-senior-high,Garu Comm. Day Senior High,Upper East,Tempane,C,Mixed
abuadi-tsrefe-comm-senior-high,Gbekor Senior High School,Volta,Adaklu,C,Mixed
gbewa-technical-institute,Gbewa Technical Institute,Northern,Tamale Metro,C,Mixed
gbintiri-senior-high-tech,Gbintiri Senior High/Tech,North East,East Mamprusi,C,Mixed
ghana-muslim-mission-senior-high,Ghana Muslim Mission Senior High,Ashanti,Sekyere Central,B,Mixed
goka-senior-high-tech,Goka Senior High/Tech.,Bono,Jaman North,B,Mixed
gomoa-adaa-technical-institute,Gomoa Adaa Technical Institute,Central,Gomoa West,B,Mixed
gomoa-senior-high-tech,Gomoa Senior High/Tech,Central,Gomoa West,C,Mixed
guakro-effah-senior-high,Guakro Effah Senior High,Bono East,Techiman North,B,Mixed
guo-technical-insititute,Guo Technical Insititute,Upper West,Nandom,C,Mixed
gushegu-senior-high,Gushegu Senior High,Northern,Gushegu,C,Mixed
gwiraman-comm-senior-high,Gwiraman Comm.Senior High,Western,Nzema East,C,Mixed
gyaama-pensan-senior-high-tech,Gyaama Pensan Senior High/Tech,Ashanti,Kwabre East,C,Mixed
gyaase-community-senior-high,Gyaase Community Senior High,Central,Assin North,C,Mixed
gyamfi-kumanini-senior-high-tech,Gyamfi Kumanini Senior High/Tech,Ahafo,Asutifi North,B,Mixed
gyarko-comm-day-senior-high,Gyarko Comm. Day Senior High,Bono East,Techiman,C,Mixed
gyedu-technical-institute,Gyedu Technical Institute,Ahafo,Asutifi North,C,Mixed
half-assini-senior-high,Half Assini Senior High,Western,Jomoro,B,Mixed
han-senior-high,Han Senior High,Upper West,Jirapa,C,Mixed
hemang-buoho-technical-institute,Hemang Buoho Technical Institute,Ashanti,Afigya Kwabre South,C,Mixed
hidaayah-islamic-senior-high-school,Hidaayah Islamic Senior High School,Bono,Jaman South,C,Mixed
ho-lokoe-technical-institute,Ho -Lokoe Technical Institute,Volta,Ho Municipal,C,Mixed
ho-technical-institute,Ho Technical Institute,Volta,Ho Municipal,C,Mixed
hwidiem-senior-high,Hwidiem Senior High,Ahafo,Asutifi South,B,Mixed
ibadur-rahman-academy,Ibadur Rahman Academy,Ashanti,Asokore Mampong Municipal,C,Mixed
islamic-girls-senior-high-suhum,"Islamic Girls Senior High,Suhum",Eastern,Suhum,B,Girls
islamic-mission-technical-institute,Islamic Mission Technical Institute,Ahafo,Tano North,C,Mixed
islamic-science-senior-high-tamale,"Islamic Science Senior High, Tamale",Northern,Sagnerigu Municipal,C,Mixed
islamic-senior-high-wa,"Islamic Senior High, Wa",Upper West,Wa Municipal,C,Mixed
islamic-senior-high-ampabame,"Islamic Senior High,Kumasi",Ashanti,Kumasi Metro,B,Mixed
issa-technical-institute,Issa Technical Institute,Upper West,Dafiama Busie Issa,C,Mixed
istiquaama-snr-high,Istiquaama Snr. High,Bono,Wenchi,B,Mixed
j-a-kufour-stem-technical-school,J.A. Kufour Stem Technical School,Ashanti,Atwima Nwabiagya North Municipal,C,Mixed
j-g-knol-voc-instititute,J.G. Knol Technical Instititute,Eastern,Okere,C,Mixed
jachie-pramso-senior-high,Jachie Pramso Senior High,Ashanti,Bosomtwe,B,Mixed
jacobu-senior-high-tech,Jacobu Senior High/Tech.,Ashanti,Amansie Central,B,Mixed
jamiat-al-hidaya-islamic-girls,Jamiat Al-Hidaya Islamic Girls,Upper West,Wa Municipal,C,Girls
janga-senior-high-tech,Janga Senior High/Tech,North East,West Mamprusi,C,Mixed
jema-senior-high,Jema Senior High,Bono East,Kintampo South,B,Mixed
jim-bourton-mem-agric-senior-high,Jim Bourton Mem Agric. Senior High,Volta,Afadzto South,C,Mixed
jinijini-senior-high,Jinijini Senior High,Bono,Berekum Municipal,B,Mixed
jirapa-senior-high,Jirapa Senior High,Upper West,Jirapa,C,Mixed
juaben-senior-high,Juaben Senior High,Ashanti,Juaben Municipal,B,Mixed
juaboso-senior-high,Juaboso Senior High,Western North,Juaboso,B,Mixed
juaso-senior-high-tech,Juaso Senior High/Tech,Ashanti,Asante Akim South,C,Mixed
jubilee-senior-high,Jubilee Senior High,Ashanti,Asante Akim South,C,Mixed
jukwa-senior-high,Jukwa Senior High/Tech,Central,Twifo Hemang Lower Denkyira,C,Mixed
kaakyi-technical-institute,Kaakyi Technical Institute,Oti,Kete Krachi,C,Mixed
kade-senior-high-tech,Kade Senior High/Tech.,Eastern,Kwaebibirem,B,Mixed
kadjebi-asato-senior-high,Kadjebi-Asato Senior High,Oti,Kadjebi,C,Mixed
kajaji-senior-high,Kajaji Senior High,Bono East,Sene East,B,Mixed
kajaji-technical-institute,Kajaji Technical Institute,Bono East,Sene East,C,Mixed
kaleo-senior-high-tech,Kaleo Senior High/Tech,Upper West,Nadowli,C,Mixed
kalpohin-senior-high,Kalpohin Senior High,Northern,Sagnerigu Municipal,B,Mixed
kaneshie-senior-high-tech,Kaneshie Senior High/Tech.,Greater Accra,Accra,C,Mixed
kanjaga-comm-senior-high,Kanjarga Comm. Senior High,Upper East,Builsa South,C,Mixed
kanton-senior-high,Kanton Senior High,Upper West,Sisala East,B,Mixed
karaga-senior-high,Karaga Senior High,Northern,Karaga,C,Mixed
kedzi-technical-institute,Kedzi Technical Institute,Volta,Keta Municipal,C,Mixed
kesse-basahyia-senior-high,Kesse Basahyia Senior High School,Bono East,Techiman,C,Mixed
keta-business-senior-high,Keta Business College,Volta,Keta Municipal,C,Mixed
kete-krachi-senior-high-tech,Kete Krachi Senior High/Tech.,Oti,Krachi West,C,Mixed
kibi-senior-high-tech,Kibi Senior High/Tech,Eastern,Abuakwa South Municipal,B,Mixed
kintampo-senior-high,Kintampo Senior High,Bono East,Kintampo North,C,Mixed
kintampo-technical-institute,Kintampo Technical Institute,Bono East,Kintampo South,C,Mixed
klefe-technical-institute,Klefe Technical Institute,Volta,Ho Municipal,C,Mixed
klikor-senior-high-tech,Klikor Senior High/Tech.,Volta,Ketu South,C,Mixed
klo-agogo-senior-high,Klo-Agogo Senior High/Tech,Eastern,Yilo Krobo,C,Mixed
ko-senior-high,Ko Senior High,Upper West,Nandom,C,Mixed
koase-senior-high-tech,Koase Senior High/Tech,Bono,Wenchi,C,Mixed
kobina-ansah-shs,Kobina Ansah SHS,Central,Mfantseman Municipal,C,Mixed
kofi-annan-technical-institute,Kofi Annan Technical Institute,Northern,Kumbungu,C,Mixed
kofiase-adventist-senior-high-tech,Kofiase Adventist Senior High/Tech.,Ashanti,Mampong,B,Mixed
krobea-asante-tec-voc-inst,Kokoben Technical Institute,Ashanti,Bosome Freho,C,Mixed
konadu-yiadom-catholic-senior-high,Konadu Yiadom Catholic Senior High,Ashanti,Sekyere South,B,Mixed
konkoma-technical-institute,Konkoma Technical Institute,Ashanti,Bosomtwe,C,Mixed
kpalwega-technical-institute,Kpalwega Technical Institute,Upper East,Bawku East,C,Mixed
kpandai-senior-high,Kpandai Senior High,Northern,Kpandi,C,Mixed
kpando-senior-high,Kpando Senior High .,Volta,Kpando Municipal,B,Mixed
kpassa-senior-high-tech,Kpassa Senior High/Tech,Oti,Nkwanta North,C,Mixed
kpedze-senior-high,Kpedze Senior High,Volta,Ho West,C,Mixed
kpeve-senior-high,Kpeve Senior High Tech,Volta,South Dayi,C,Mixed
kpone-comm-senior-high,Kpone Comm. Senior High,Greater Accra,Kpone-Katamanso,C,Mixed
kpong-technical-institute,Kpong Technical Institute,Eastern,Lower Manya Krobo,C,Mixed
